date,airport,inbound_flights,inbound_avg_arr_delay
2019-11-04,ANC,43,-6.534883720930233
2019-11-05,ANC,39,1.2820512820512822
2019-11-06,ANC,44,-2.9318181818181817
2019-11-07,ANC,38,-5.7368421052631575
2019-11-08,ANC,42,-4.380952380952381
2019-11-09,ANC,38,8.657894736842104
2019-11-10,ANC,44,-5.2272727272727275
2019-11-11,ANC,43,-16.767441860465116
2019-11-12,ANC,40,-8.35
2019-11-13,ANC,44,-9.159090909090908
2019-11-14,ANC,42,-14.238095238095237
2019-11-15,ANC,44,-6.454545454545454
2019-11-16,ANC,40,-4.55
2019-11-17,ANC,44,2.3636363636363638
2019-11-18,ANC,44,-1.4545454545454546
2019-11-19,ANC,42,2.119047619047619
2019-11-20,ANC,44,-5.25
2019-11-21,ANC,46,-5.673913043478261
2019-11-22,ANC,43,-4.1395348837209305
2019-11-23,ANC,40,-1.825
2019-11-24,ANC,48,-5.854166666666667
2019-11-25,ANC,47,1.1063829787234043
2019-11-26,ANC,41,2.4634146341463414
2019-11-27,ANC,45,20.733333333333334
2019-11-28,ANC,30,-15.7
2019-11-29,ANC,35,-11.485714285714286
2019-11-30,ANC,43,-0.7441860465116279
2019-12-01,ANC,48,22.270833333333332
2019-12-02,ANC,44,6.363636363636363
2019-12-03,ANC,41,-5.2439024390243905
2019-12-04,ANC,44,-2.0681818181818183
2019-12-05,ANC,42,-1.9761904761904763
2019-12-06,ANC,45,1.6444444444444444
2019-12-07,ANC,36,0.1388888888888889
2019-12-08,ANC,46,-1.0869565217391304
2019-12-09,ANC,40,-1.7
2019-12-10,ANC,41,-7.439024390243903
2019-12-11,ANC,42,-5.285714285714286
2019-12-12,ANC,42,-15.5
2019-12-13,ANC,45,-11.333333333333334
2019-12-14,ANC,37,-3.6486486486486487
2019-12-15,ANC,45,1.9333333333333333
2019-12-16,ANC,44,-10.318181818181818
2019-12-17,ANC,42,-4.166666666666667
2019-12-18,ANC,45,6.0
2019-12-19,ANC,47,2.9574468085106385
2019-12-20,ANC,47,22.382978723404257
2019-12-21,ANC,43,15.744186046511627
2019-12-22,ANC,50,-0.24
2019-12-23,ANC,49,-2.204081632653061
2019-12-24,ANC,44,-11.590909090909092
2019-12-25,ANC,38,-0.9736842105263158
2019-12-26,ANC,46,9.891304347826088
2019-12-27,ANC,48,10.020833333333334
2019-12-28,ANC,44,-2.727272727272727
2019-12-29,ANC,49,5.448979591836735
2019-12-30,ANC,47,6.8936170212765955
2019-12-31,ANC,44,1.4545454545454546
2020-01-01,ANC,44,8.113636363636363
2020-01-02,ANC,47,3.1702127659574466
2020-01-03,ANC,48,-2.3541666666666665
2020-01-04,ANC,44,-3.159090909090909
2020-01-05,ANC,48,6.354166666666667
2020-01-06,ANC,48,17.0625
2020-01-07,ANC,39,5.230769230769231
2020-01-08,ANC,41,14.146341463414634
2020-01-09,ANC,43,6.093023255813954
2020-01-10,ANC,43,14.69767441860465
2020-01-11,ANC,39,7.82051282051282
2020-01-12,ANC,42,27.095238095238095
2020-01-13,ANC,41,12.024390243902438
2020-01-14,ANC,41,3.5609756097560976
2020-01-15,ANC,41,-13.853658536585366
2020-01-16,ANC,41,-17.024390243902438
2020-01-17,ANC,42,-0.023809523809523808
2020-01-18,ANC,39,-14.307692307692308
2020-01-19,ANC,42,-16.833333333333332
2020-01-20,ANC,39,-6.615384615384615
2020-01-21,ANC,42,-11.428571428571429
2020-01-22,ANC,41,-9.121951219512194
2020-01-23,ANC,42,-2.3333333333333335
2020-01-24,ANC,43,-13.255813953488373
2020-01-25,ANC,38,-17.81578947368421
2020-01-26,ANC,43,-9.395348837209303
2020-01-27,ANC,40,1.8
2020-01-28,ANC,41,-10.585365853658537
2020-01-29,ANC,40,-8.875
2020-01-30,ANC,41,8.292682926829269
2020-01-31,ANC,41,-1.0731707317073171
2020-02-01,ANC,39,-7.487179487179487
2020-02-02,ANC,41,-1.3170731707317074
2020-02-03,ANC,40,4.425
2020-02-04,ANC,42,9.166666666666666
2020-02-05,ANC,41,-3.5853658536585367
2020-02-06,ANC,43,1.7906976744186047
2020-02-07,ANC,43,10.0
2020-02-08,ANC,39,4.128205128205129
2020-02-09,ANC,43,7.1395348837209305
2020-02-10,ANC,42,6.833333333333333
2020-02-11,ANC,41,-5.048780487804878
2020-02-12,ANC,40,-6.55
2020-02-13,ANC,43,-6.232558139534884
2020-02-14,ANC,43,-5.930232558139535
2020-02-15,ANC,38,-4.2631578947368425
2020-02-16,ANC,42,2.6904761904761907
2020-02-17,ANC,42,-3.142857142857143
2020-02-18,ANC,41,-2.731707317073171
2020-02-19,ANC,42,0.047619047619047616
2020-02-20,ANC,41,-6.7073170731707314
2020-02-21,ANC,42,-11.452380952380953
2020-02-22,ANC,39,-3.58974358974359
2020-02-23,ANC,42,5.4523809523809526
2020-02-24,ANC,42,1.5714285714285714
2020-02-25,ANC,41,-9.341463414634147
2020-02-26,ANC,42,3.0476190476190474
2020-02-27,ANC,43,-10.255813953488373
2020-02-28,ANC,43,-7.186046511627907
2020-02-29,ANC,38,8.473684210526315
2020-03-01,ANC,42,26.69047619047619
